Driver,LapNumber,calc_lap_time_sec,calc_cumulative_time_sec,Stint,Compound,TyreLife,Position,Team,Sector1Time,Sector2Time,Sector3Time,is_inlap,is_outlap,is_pit_lap,pit_stop_number,is_retired,is_lapped
HAM,1.0,87.403,87.403,1.0,MEDIUM,4.0,2.0,Mercedes,,30.046,23.087,False,False,False,0,False,False
HAM,2.0,82.335,169.738,1.0,MEDIUM,5.0,2.0,Mercedes,29.502,29.662,23.171,False,False,False,0,False,False
HAM,3.0,81.946,251.684,1.0,MEDIUM,6.0,2.0,Mercedes,29.428,29.407,23.111,False,False,False,0,False,False
HAM,4.0,81.646,333.33,1.0,MEDIUM,7.0,2.0,Mercedes,29.418,29.228,23.0,False,False,False,0,False,False
HAM,5.0,81.767,415.097,1.0,MEDIUM,8.0,2.0,Mercedes,29.441,29.228,23.098,False,False,False,0,False,False
HAM,6.0,81.602,496.699,1.0,MEDIUM,9.0,2.0,Mercedes,29.394,29.157,23.051,False,False,False,0,False,False
HAM,7.0,81.658,578.357,1.0,MEDIUM,10.0,2.0,Mercedes,29.42,29.203,23.035,False,False,False,0,False,False
HAM,8.0,81.293,659.65,1.0,MEDIUM,11.0,2.0,Mercedes,29.34,29.008,22.945,False,False,False,0,False,False
HAM,9.0,81.535,741.185,1.0,MEDIUM,12.0,2.0,Mercedes,29.288,29.152,23.095,False,False,False,0,False,False
HAM,10.0,81.484,822.669,1.0,MEDIUM,13.0,2.0,Mercedes,29.331,29.062,23.091,False,False,False,0,False,False
HAM,11.0,81.574,904.2429999999999,1.0,MEDIUM,14.0,2.0,Mercedes,29.403,29.151,23.02,False,False,False,0,False,False
HAM,12.0,81.717,985.96,1.0,MEDIUM,15.0,2.0,Mercedes,29.543,29.149,23.025,False,False,False,0,False,False
HAM,13.0,81.651,1067.6109999999999,1.0,MEDIUM,16.0,2.0,Mercedes,29.387,29.166,23.098,False,False,False,0,False,False
HAM,14.0,81.899,1149.51,1.0,MEDIUM,17.0,2.0,Mercedes,29.363,29.459,23.077,False,False,False,0,False,False
HAM,15.0,81.696,1231.206,1.0,MEDIUM,18.0,2.0,Mercedes,29.372,29.171,23.153,False,False,False,0,False,False
HAM,16.0,81.608,1312.814,1.0,MEDIUM,19.0,2.0,Mercedes,29.343,29.186,23.079,False,False,False,0,False,False
HAM,17.0,81.685,1394.499,1.0,MEDIUM,20.0,2.0,Mercedes,29.396,29.134,23.155,False,False,False,0,False,False
HAM,18.0,81.765,1476.264,1.0,MEDIUM,21.0,2.0,Mercedes,29.612,29.087,23.066,False,False,False,0,False,False
HAM,19.0,81.686,1557.95,1.0,MEDIUM,22.0,2.0,Mercedes,29.54,29.117,23.029,False,False,False,0,False,False
HAM,20.0,82.241,1640.191,1.0,MEDIUM,23.0,2.0,Mercedes,29.667,29.375,23.199,False,False,False,0,False,False
HAM,21.0,82.26,1722.451,1.0,MEDIUM,24.0,2.0,Mercedes,29.68,29.427,23.153,False,False,False,0,False,False
HAM,22.0,82.378,1804.829,1.0,MEDIUM,25.0,2.0,Mercedes,29.555,29.637,23.186,False,False,False,0,False,False
HAM,23.0,82.096,1886.925,1.0,MEDIUM,26.0,2.0,Mercedes,29.562,29.34,23.194,False,False,False,0,False,False
HAM,24.0,82.844,1969.769,1.0,MEDIUM,27.0,2.0,Mercedes,29.677,29.994,23.173,False,False,False,0,False,False
HAM,25.0,82.052,2051.821,1.0,MEDIUM,28.0,1.0,Mercedes,29.638,29.213,23.201,False,False,False,0,False,False
HAM,26.0,81.775,2133.596,1.0,MEDIUM,29.0,1.0,Mercedes,29.547,29.189,23.039,False,False,False,0,False,False
HAM,27.0,81.805,2215.401,1.0,MEDIUM,30.0,1.0,Mercedes,29.611,29.216,22.978,False,False,False,0,False,False
HAM,28.0,82.182,2297.583,1.0,MEDIUM,31.0,1.0,Mercedes,29.53,29.499,23.153,False,False,False,0,False,False
HAM,29.0,82.462,2380.045,1.0,MEDIUM,32.0,1.0,Mercedes,29.773,29.515,23.174,False,False,False,0,False,False
HAM,30.0,82.812,2462.857,1.0,MEDIUM,33.0,1.0,Mercedes,29.793,29.542,23.477,False,False,False,0,False,False
HAM,31.0,85.483,2548.34,1.0,MEDIUM,34.0,1.0,Mercedes,29.713,29.855,25.915,True,False,True,1,False,False
HAM,32.0,99.77,2648.11,2.0,HARD,1.0,2.0,Mercedes,48.664,28.777,22.329,False,True,True,1,False,False
HAM,33.0,79.653,2727.763,2.0,HARD,2.0,2.0,Mercedes,28.791,28.585,22.277,False,False,False,1,False,False
HAM,34.0,79.331,2807.094,2.0,HARD,3.0,2.0,Mercedes,28.736,28.204,22.391,False,False,False,1,False,False
HAM,35.0,80.226,2887.32,2.0,HARD,4.0,2.0,Mercedes,28.787,28.852,22.587,False,False,False,1,False,False
HAM,36.0,81.257,2968.577,2.0,HARD,5.0,2.0,Mercedes,29.32,29.188,22.749,False,False,False,1,False,False
HAM,37.0,80.913,3049.4900000000002,2.0,HARD,6.0,2.0,Mercedes,29.09,28.846,22.977,False,False,False,1,False,False
HAM,38.0,81.182,3130.672,2.0,HARD,7.0,2.0,Mercedes,28.967,28.92,23.295,False,False,False,1,False,False
HAM,39.0,82.322,3212.994,2.0,HARD,8.0,2.0,Mercedes,28.752,30.527,23.043,False,False,False,1,False,False
HAM,40.0,80.508,3293.502,2.0,HARD,9.0,2.0,Mercedes,28.91,28.769,22.829,False,False,False,1,False,False
HAM,41.0,80.485,3373.987,2.0,HARD,10.0,2.0,Mercedes,28.994,28.737,22.754,False,False,False,1,False,False
HAM,42.0,80.09,3454.077,2.0,HARD,11.0,2.0,Mercedes,28.906,28.605,22.579,False,False,False,1,False,False
HAM,43.0,80.18,3534.257,2.0,HARD,12.0,2.0,Mercedes,28.82,28.725,22.635,False,False,False,1,False,False
HAM,44.0,80.193,3614.45,2.0,HARD,13.0,2.0,Mercedes,28.834,28.71,22.649,False,False,False,1,False,False
HAM,45.0,80.18,3694.63,2.0,HARD,14.0,2.0,Mercedes,28.864,28.856,22.46,False,False,False,1,False,False
HAM,46.0,80.177,3774.8070000000002,2.0,HARD,15.0,2.0,Mercedes,28.891,28.682,22.604,False,False,False,1,False,False
HAM,47.0,80.042,3854.849,2.0,HARD,16.0,2.0,Mercedes,28.839,28.606,22.597,False,False,False,1,False,False
HAM,48.0,82.452,3937.301,2.0,HARD,17.0,2.0,Mercedes,28.741,28.348,25.363,True,False,True,2,False,False
HAM,49.0,96.122,4033.4230000000002,2.0,HARD,18.0,2.0,Mercedes,46.653,27.638,21.831,False,True,True,2,False,False
HAM,50.0,79.404,4112.827,3.0,MEDIUM,1.0,2.0,Mercedes,28.753,28.387,22.264,False,False,False,2,False,False
HAM,51.0,79.199,4192.026,3.0,MEDIUM,2.0,2.0,Mercedes,28.67,28.225,22.304,False,False,False,2,False,False
HAM,52.0,79.733,4271.759,3.0,MEDIUM,3.0,2.0,Mercedes,28.61,28.525,22.598,False,False,False,2,False,False
HAM,53.0,79.585,4351.344,3.0,MEDIUM,4.0,2.0,Mercedes,28.619,28.517,22.449,False,False,False,2,False,False
HAM,54.0,79.673,4431.017,3.0,MEDIUM,5.0,2.0,Mercedes,28.578,28.392,22.703,False,False,False,2,False,False
HAM,55.0,79.627,4510.644,3.0,MEDIUM,6.0,2.0,Mercedes,28.613,28.465,22.549,False,False,False,2,False,False
HAM,56.0,80.042,4590.686,3.0,MEDIUM,7.0,2.0,Mercedes,28.889,28.694,22.459,False,False,False,2,False,False
HAM,57.0,79.174,4669.86,3.0,MEDIUM,8.0,2.0,Mercedes,28.814,28.16,22.2,False,False,False,2,False,False
HAM,58.0,78.668,4748.528,3.0,MEDIUM,9.0,2.0,Mercedes,28.581,28.025,22.062,False,False,False,2,False,False
HAM,59.0,78.566,4827.094,3.0,MEDIUM,10.0,2.0,Mercedes,28.567,27.923,22.076,False,False,False,2,False,False
HAM,60.0,78.528,4905.622,3.0,MEDIUM,11.0,2.0,Mercedes,28.548,27.925,22.055,False,False,False,2,False,False
HAM,61.0,78.575,4984.197,3.0,MEDIUM,12.0,2.0,Mercedes,28.482,28.053,22.04,False,False,False,2,False,False
HAM,62.0,78.658,5062.8550000000005,3.0,MEDIUM,13.0,2.0,Mercedes,28.605,27.955,22.098,False,False,False,2,False,False
HAM,63.0,78.625,5141.4800000000005,3.0,MEDIUM,14.0,2.0,Mercedes,28.607,27.859,22.159,False,False,False,2,False,False
HAM,64.0,78.785,5220.265,3.0,MEDIUM,15.0,2.0,Mercedes,28.644,27.946,22.195,False,False,False,2,False,False
HAM,65.0,78.854,5299.119,3.0,MEDIUM,16.0,2.0,Mercedes,28.573,28.021,22.26,False,False,False,2,False,False
HAM,66.0,80.945,5380.064,3.0,MEDIUM,17.0,2.0,Mercedes,28.723,29.346,22.876,False,False,False,2,False,False
HAM,67.0,80.002,5460.066,3.0,MEDIUM,18.0,1.0,Mercedes,28.508,28.781,22.713,False,False,False,2,False,False
HAM,68.0,80.573,5540.639,3.0,MEDIUM,19.0,1.0,Mercedes,28.981,28.89,22.702,False,False,False,2,False,False
HAM,69.0,81.475,5622.1140000000005,3.0,MEDIUM,20.0,1.0,Mercedes,29.234,29.229,23.012,False,False,False,2,False,False
